번호,학년,장소명,주소,추천이유
47,2학년,서울형 키즈카페 새샘공원점,서울특별시 동대문구 사가정로2길 99,"초등학생 2학년까지 이용가능한 서울형 키즈카페예요 2018년생~2023년생 아동들이 이용가능합니다.우리동네키움포털에서 온라인 예약하고 방문하시면 돼요. 아동은 2,000원 어른은 1,000원입니다. 아동은 미끄럼방지 양말을 꼭 착용해야 해요. 새샘근린공원에서 안쪽 작은 길을 따라가면 있어요. 물놀이터도 있어서 여름에는 시원하게 놀 수 있는 곳이예요."
48,2학년,서울약령시한의약박물관&약령시장한방축제,서울 동대문구 약령중앙로 26,제가 추천하는 장소는 서울약령시장 한방박물관입니다^^ 한약 냄새도 맡아보고 처음보는 여러 가지 한약재료를 볼 수 있어서 신기했습니다. 그리고 이것저것 체험할 것도 있어서 재미있었습니다! 특히 10월달엔 약령시장에서 한방축제를 해서 축제때 가면 약령시장 길 전체에 놀거리가 많아서 너무 신나고 재밌었습니다.
49,2학년,롤러힐 롤러스케이트장,,"추운 겨울에도, 한여름에도 운동을 즐길 수 있다."
50,2학년,시립동대문센터,서울 동대문구 제기로33길 25 시립동대문센터,매월 축제들이 있어서 아이들이 좋아할거 같아서 올립니다.
51,2학년,경희대학교,서울특별시 동대문구 경희대로 26,우리나라에서 예쁘기로 소문난 대학교 중에 하나이고 넓어서 산책하기 좋은 코스입니다. 오르막길도 있지만 그리 가파르지 않아 유모차 끌기도 좋아요. 예쁜 조경과 건물이 인상적이고 곳곳에 의자가 있어서 쉬어가기 좋아요
52,2학년,영휘원숭인원,서울 동대문구 홍릉로 90,세종대왕기념관 가다가 발견한 곳이었는데 한적해서 자주 산책겸 방문하는 곳 중에 한 곳입니다. 입장료가 있긴 하지만 크게 부담없고 다둥이도 면제받습니다. 입장하면 초록세상이 넓은 벌판과 함께 펼쳐져서 감회가 새롭습니다. 도토리 주우면 시간가는줄 모르는데 퇴장할 때 다람쥐들을 위해 주웠던 도토리를 도토리함에 돌려주는 것도 있어서 어린아이들이 무척 좋아할 것 같습니다.
53,2학년,홍릉시원림-홍릉숲,서울 동대문구 회기로 57,"우리나라 최초 수목원으로, 꽤 오래전에 방문했었는데 조류독감으로 폐쇄된 뒤 올해 재개방한다는 소식듣고 신나게 가족들과 달려간 기억이 있습니다. 오르락내리락 산책로도 잘 되어있고 자연을 만끽할 수 있습니디"
54,2학년,세종대왕 기념관,서울 동대문구 회기로 56,세종대왕의 업적 등 자료가 보존되어있고 모든 학생들이 알아야할 역사인물 중 가장 유명하고 또 한글을 창조한 인물이라 길이길이 기억해야할 인물입니다. 또한 길도 잘 포장되어있고 자연과 어우러졌으며 커다란 나무아래 나무의자에 앉으면 살랑살랑 그늘바람에 낮잠이 절로 옵니다. 길중간중간 포토존도 있어요^^
55,2학년,숭인중학교 운동장,서울 동대문구 천호대로47길 34,방과후와 주말에 시민들에게 오픈되어 농구와 축구를 즐길수 있다. 농구골대가 5개가 있어서 여러 그룹이 동시에 농구를 할수있고 주변에 농구골대를 찾기 힘든 용두동에서 농구를 즐길수 있는 귀한곳이다.
56,2학년,한별어린이공원,서울 동대문구 용두동 797-1,"놀이터에 그네, 시소, 미끄럼틀이 있어 아이들이 다양한 놀이를 즐길수 있다. 어른들이 간단히 운동할수 있는 기구들도 옆에 있고 카페와 꽃집도 있어 기분좋게 주말아침을 맞이할수 있는곳이다."
57,2학년,배봉산근린공원,서울특별시 동대문구 한천로43길 22,"우리동네 장수풍뎅이와 사슴벌레가 서식하는 곳이 있어요!!!  곤충 채집 동호인들이나 아이들과 생태 체험을 배봉산근린공원으로 다녀온다고 하더라구요. 그래서 몇 년 전 장수풍뎅이와 사슴벌레 채집 및 관찰을 할 수 있다고 하여 다녀왔었어요. 우선 입구쪽에서 배봉산 도서관있고 계절마다 광장에서는 행사도 많이 하더라구요. 우리의 목적은 '장수풍뎅이' 채집!!! 바로 둘레길로 갔습니다. 둘레길을 따라 올라가면서 참나무(상수리나무)가 많아서 하나하나 관찰하며 올라갔는데 매미는 정말 많더라구요. 그러다 매미 우화를 실제로 눈으로 목격 할 수 있었어요. 그리고 돌아오는 길에 '바스락 바스락'소리가 나서 봤더니 뚜둥!! 장수풍뎅이 암컷을 발견했어요.  오랜만에 사진첩을 봤더니 매미 우화 사진만 있고, 장수풍뎅이 사진은 없네요. ㅜㅜ. 장수풍뎅이 채집 및 관찰 시기는 6월 말부터 8월 말까지 한여름이 활동 전성기래요. 낮에는 참나무 아래 낙엽이나 부식토 속, 혹은 나무 틈새에 숨어 있다가 해가 진 후 밤이나 새벽에 수액을 먹으러 나무 위로 올라온데요. 어른들과 함께 조심 조심 채집해 봐요."
58,2학년,홍릉숲,서울특별시 동대문구 회기로 57(국립산림과학원) 홍릉숲,"우리동네에 대한민국 100대 명품숲이 있는거 아시나요? 국가산림문화자산이자 서울미래유산 '홍릉숲'을 소개합니다. 우리나라 수목원의 모태인 홍릉숲에서 사계절 형형색색의 아름다움을 만끽하고 향긋한 꽃향기와 싱그러운 풀내음도 맡아 보아요. 홍릉숲에는 홍릉8경이 있어요. 1경 왕벚나무: 홍릉숲의 대표적인 쉼터이자 봄날의 최고 포토 명소에요. 2경 산림과학관: 우리나라 산림의 역사와 생태계를 한눈에 볼 수 있어요. 3경 밀레니엄동산: 새 천년(2000년) 이전까지의 연구 성과와 기록물을 담은 타임캡슐을 묻어 놨데요. 4경 밤나무3형제: 밤나무, 너도밤나무, 나도밤나무 3형제를 함께 관찰하기 좋은 장소에요. 5경 반송: 홍릉숲을 대표하는 소나무에요. 6경 복수초: 홍릉숲의 봄을 제일 먼저 전하는 식물이래요. 7경 노블포플러: 국내 기록된 가장 키 큰 나무래요. 8경 낙우송숲: 낙우송 아래 약용식물이 심어져 신기한 약초들이 자라는 곳이에요. *참고자료: 스스로 배우는 국가산림문화자산 워크북. 홍릉8경을 즐기는 스탬프투어 안내책자. 홍릉숲으로 고고!!"
59,2학년,청량리 청과물 시장,서울특별시 동대문구 왕산로33길 4 청량리 청과물 시장,"1년내내 사계절 내내 제철과일과 채소가 가득해 아이들에게 살아 있는 시장의 모습 체험과 형형 색색의 과일 채소에 눈이 번쩍 뜨일거에요. 마트에서는 볼 수 없었던 신기한 과일도 찾아보고, 직접 골라 보는 재미가 있어요."
60,2학년,간데메공원,서울특별시 동대문구 답십리동 서울시립대로2길 59 간데메공원,"간데메 공원으로 보물 찾으러 간데메? 도심 속 간데메 공원에 숨겨진 '하얀 옷을 입은 특별한 소나무, 백송'이 있다는 사실을 아시나요? 별명이 숲속의 은빛 신사인데, 나무가 나이를 먹을 수록 껍질이 벗겨지면서 백옥처펌 하얗고 은은한 얼룩무늬 몸통으로 변신한데요. 우리나라 전체를 통틀어 큰 백송이 많지 않아 아주 아주 귀한 몸이래요. 때문에 우리나라에 오래 산 거인 백송들은 너무 귀해서 '천연기념물'이라는 훈장을 주고 보호하고 있어요. 헌법재판소나 조계사 같은 멋진 곳에 살고 있데요. 우리모두 '하얀 옷을 입은 특별한 소나무, 백송'이 있는 간데메 공원으로 보물 찾으러 가자!!!! 또, 놀이터와 맨발 산책로도 있어서 친구들과 신나게 놀고, 맨발 산책도 할 수 있어요. 이제 간데메 공원에서 백송을 찾으셨나요? 뚜둥! 간데메 공원의 백송은 '팔각정' 옆에 있어요!!! 나무가 흰색이라 한눈에 딱! 찾을 수 있을꺼에요."
61,2학년,동대문 책마당 도서관,서울 동대문구 천호대로 145 동대문구청 1층,다양한 책이 구비되어있어 부모와 자녀가 함께 책을 고르고 빌릴수 있다. 어린이용 소파가 있어 자녀가 고른책을 편안히 읽을수도 있다.
62,2학년,마로니에숲길,서울 동대문구 서울 시립대로 14 청계한신휴플러스 105동 옆 마로니에 숲길,"초록초록 마로니에 나무 숲길로 떠나요! 커다란 손바닥을 닮은 나뭇잎이 가득한 '마로니에 나무 숲길'로 떠나요! 1. 여름의 선물: '매미 소리를 찾아라!' 여름이 되면 마로니에 나무들이 커다란 잎사귀를 활짝 펼쳐서 시원한 그늘 우산을 만들어 줘요. 매미들도 그늘을 좋아하는지 매미들도 많아 시원한 그늘 아래에서 '맴맴'우는 여름 매미 잡기 놀이를 할 수 있어요. 2. 가을의 선물: '바스락 바스락 가을소리' 가을이 되면 마로니에 나무에서 밤을 쏙 빼닮은 동글동글하고 귀여운 열매가 떨어져요. 땅에 떨어진 마로니에 열매를 누가 더 많이 찾나 보물 찾기 놀이를 할 수 있어요. (밤처럼 생겼지만 먹으면 안되요. 먹으면 배 아파요!) 또, 가을이 되면 떨어진 낙옆 카펫이 완성돼. 발을 내딛을 때마다 '바스락! 바스락!' 재미있는 소리가 나요."
63,3학년,경희대 자연사박물관,서울시 동대문구 경희대로 26,동식물의 표본을 보며 다양한 동식물을 알 수 있고 우주에 대해서도 관심이 생길 수 있도록 도움을 주는 곳이에요.
64,3학년,서울한방진흥센터,,
65,3학년,금성전파사,,LG전자의 옛날 이름을 따서 복합문화공간의 장소로 경동시장 안에 위치해있고 스타** 까페와 연결되어있어 엄마찬스로 음료도 마실 수 있어요. 예전에는 세탁기 안에서 사진도 찍고 게임도 할 수 있었는데 지금은 리뉴얼 기간이라 캠퍼스 아트 콜라보 전시만 이뤄지고 있어요. 6월 16일 이후에는 재미난 문화들로 반겨줄 것 같아요. 크리스마스나 설날에도 재미난 이벤트를 했었는데 2026년에도 기대해보며 소개해요.
66,3학년,클럽 롤러힐,서울 동대문구 답십리로 209 2층 힐스포츠,더위와 추위를 피해서 롤러케이트를 자유롭고 안전하게 탈 수 있다. 장비가 다 구비되어 있어서 편하게 이용할 수 있다.
67,3학년,동대문구민 체육센터,서울시 동대문구 장안벚꽃로 67 동대문구민 체육센터,"수영장, 줄넘기, 농구, 인라인 등 다양한 수업을 들을 수 있고 셔틀이 무료로 있어서 이용하기 편리해요"
68,3학년,장안1 수변공원,서울 동대문구 장안동 24-1,봄에 벚꽃이 가득피어있고 여름엔 햇살을 피해 산책할 수 있어요
69,3학년,배봉산 숲속 폭포,서울 동대문구 전농로16길 97,"시원한 폭포가 흘러내리고 앞에 넓은 공간에서 인라인이나 킥보드를 탈 수도 있고, 도시락을 챙겨와 나들이 하기에 좋아요"
70,3학년,홍릉숲,서울 동대문구 회기로 57 홍릉숲,숲 산책을 하며 다양한 식물을 관찰할 수 있다
71,3학년,배봉산 근린공원 인공암벽등반장,서울 동대문구 전농동 32-20,"클라이밍을 접해 보지 않았던 사람도 편안하게 접할 수 있는 기회를 주는 곳입니다 안전장비를 착용하고 지도선생님의 보호를 받으며 가능하다면 7미터나 되는 곳을 정복해 볼 수도 있습니다 월,화 휴무이고 수~일 가능합니다 한번 도전해 보세요 영유아가 아니면 누구든 가능합니다"
72,3학년,서울 풍물시장,서울 동대문구 천호대로4길 21,"동대문도서관 바로 옆에 자리한 이 곳은 황학동을 중심으로 벼룩시장 또는 만물시장이라는 이름으로 운영되던 곳인데 지금은 거대한 중고제품, 골동품 전문 시장으로 유명한 장소가 되었어요. 이곳에 오면 없는게 없을정도로 다양한 볼거리가 있고 시장에서 느껴지는 맛난 먹거리도 있어 가족이 함께 이색 데이트로 시간 보내기 좋은 곳이예요."
73,3학년,경동 1960 작은도서관,서울특별시 동대문구 고산자로36길 3,경동시장 중간에 있는 장소라 시장 구경을 하다가 잠시 쉬어갈 수 있는 휴식터가 되어주고 있다. 옆에 카페도 있어 음료도 마시며 여러 책을 읽을 수 있어 방문하기 좋아요.  그리고 대학생들인 경동시장서포터즈들이 준비한 매 달 프로그램이 있어서 신청해서 주말을 가족과 즐겁게 보낼 수 있어요. 포스터를 참고해서 하고싶은 프로그램을 미리 보면 도움이 될 것 같아요.
74,3학년,용두어린이영어도서관,서울시 동대문구 무학로 133,"동대문구 안에서 영어책이 가득한 도서관으로 손꼽으며 다양한 영어 관련 프로그램과 학생의 영어 레벨을 확인해 볼 수 있는 르네상스 러닝도 신청해서 해 볼 수 있어요. 꼭 영어책이 아니어도 학부모 관련 서적 및 강의, 문화프로그램도 갖춰져 영어에 관심과 흥미를 가지게 하는 공간이예요."
75,3학년,우일문구,서울특별시 동대문구 답십리로 77,학교와 가장 가까운 문구점 학용품과 소소한 장난감이 있어요
76,3학년,아주 좋은 꿈터,서울시 동대문구 왕산로 16가길 7,이 곳은 아주그룹 고 문태식 창업주 생가터를 지역 아동청소년들에게 교육과 문화의 산 교육장으로 만든 곳이예요. 좁은 면적의 공간을 최대한 활용해 지상 4층 규모로 건립되어 내부를 둘러보는 것도 좋고 아늑한 공간 이용도 가능해요. 신간 책으로 진열되어 책을 다양하게 볼 수도 있어요. 아동청소년을 위한 맞춤형 프로그램도 제공하니 사이트를 확인 한 후 방문해보시기를 추천해요.
77,3학년,꿈동산어린이공원,서울시 동대문구 황물로 42,"클라이밍과 미끄럼틀, 그네가 있어요. 여름에 매미채집을 할 수 있어요."
78,3학년,동대문구가족센터-1센터,서울시 동대문구 청계천로 521 다사랑행복센터 7층,"공동육아나눔터에서 더위와 추위를 피해 영유아, 어린이까지 놀 수 있는 보드게임, 장난감, 책이 있어요. 또한 가족센터에서 진행하는 프로그램들도 신청하면 가족이 모여 진행할 수 있어요."
79,3학년,간데메공원 놀이터,서울 동대문구 답십리동 서울시립대로2길 59 간데메공원,뛰어놀 수 있는 공간이 있다. 모래놀이가 가능하다.
80,3학년,샛말어린이공원,서울 동대문구 전농동 530-54,발로 밀어서 움직이는 흔들그네가 있어요
81,3학년,동대문 도서관,서울 동대문구 천호대로4길 22,동대문구에 있는 서울특별시교육청 도서관으로 에버러닝을 통해 다양한 프로그램을 신청할 수 있고 독서의 습관을 잡아가는 북웨이브 100일 챌린지를 진행할 수 있어요. 특히 유아와 초등학생이 이용하는 어린이실은 넓은 공간에 많은 책을 보유하고 있어 책 읽기 좋고 독서동아리가 구성되어 신청하면 한 해를 뜻깊게 보낼 수 있어요.
82,3학년,뉴띵문구,서울 동대문구 전농동 222-5,문구류도 있고 장난감도 있어서 구경하기 좋아요
83,3학년,지식의 꽃밭,,도서관 들어설 부지에 넓게 꽃밭을 만들어놔서계절마다 새로운 꽃들이 가득하여 보기좋아요 산책코스로 적당해요
84,3학년,배봉산 숲속 도서관,서울 동대문구 전농로16길 97,편안한 분의기에서 책을 읽을 수 있고 책을 읽다 도서관 밖으로 나가면 바로 모래놀이터가 있어서 지겨울 틈이 없어요
85,3학년,청량리역 → 경동시장 → 서울약령시장 → 한의약박물관 → 경동시장 먹거리 골목,,"경동시장 속 보물찾기 탐험 2시간 코스를 만들어 보았습니다. 미션1. 만원으로 가장 많은 음식 재료 사기. 미션2. 신기한 한약재 약초 3개 찾기. 미션3. 가장 맛있어 보이는 간식 사진 찍기. 저는 이날 제 용돈 만원으로 고등어 2마리를 2천원에 샀고, 얼굴만한 파프리카를 1500원에 사면서 정말 맛있는 저녁을 만들어 먹었어요. 정말 저렴하고 싱싱하다는 것을 먹으면서도 알게되었어요. 종로에 엽전시장을 가본적이 있었는데, 우리집앞 경동시장이 더 크고 멋지다고 생각합니다. 멋진 시장 탐방투어를 만들면 우리 경동시장도 더 인기가 많아질 것 같아요"
86,3학년,동대문구청 도서관,서울시 동대문구 천호대로 145 동대문구청,학교와 가까운 구청에도 도서관이 고 신책을 쉽게 빌릴 수 있어요
87,3학년,용두복지문화센터 내 북카페,서울 동대문구 고산자로28길 13,"용두문화센터 1층에는 북카페가 있어요. 이용객이 적어서 조용하게 책 읽기에 좋고, 커피도 저렴히 마실 수 있어요"
88,3학년,중랑천 야외수영장/ 동대문 눈썰매장,서울 동대문구 장안동 19-6,
89,3학년,휘경행복도서관,,
90,3학년,제기동 감초마을 현진건 기념도서관,서울 동대문구 약령시로9길 45,이 곳은 한국 근대 단편소설의 선구자인 현진건 선생의 숨결이 깃들어 있다. 폐결핵으로 영면한 현진건 선생은 생의 마지막 시절을 제기동에서 보냈기에 도서관 이름에도 같이 붙여진 것으로 보이며 4층에는 현진건 선생의 일대기를 알 수 있는 공간이 있다. 주민들과 함께하는 공간으로 어우러져 도서관에서 편하게 책을 읽다가 까페 방문도 할 수 있고 바로 앞에 놀이터로 이뤄진 공원도 있어서 하루 시간 보내기가 좋다.
91,3학년,동대문진로직업체험지원센터,서울 동대문구 답십리로38길 19,이곳은 학생들의 진로에 대해 같이 탐색해보고 프로그램도 참여해볼 수 있는 곳이예요. 학교로 직접 찾아와주는 경우도 있지만 센터 홈페이지에서 예약 신청을 해서 참여를 하게되어요. 매달 1~2번 진로직업체험을 해볼 수 있으니 관심있는 부분이 나오면 신청해서 같이해보아요. 이번달은 파티셰를 진행해서 해보았어요.
92,3학년,경희대 자연사박물관,서울 동대문구 경희대로 26,"천장산하늘길로 걸어서 이문어린이도서관쪽으로 내려오면 경희대 후문이 있어요. 후문에서 가까이 위치한 자연사박물관은 토/일은 휴무라 평일에 날짜를 잘 맞춰야해요.  1~6층까지 자연에 대한 모든 것을 다 확인해볼 수 있는 장소라 무료로 암석과화석, 포유류,조류,곤충,수생생물,식물을 다양하게 볼 수 있는 곳이예요."
93,3학년,왕엄마돈까스김밥,서울 동대문구 경동시장로8길 47 1층,경동시장에서 아주 맛있게 먹은 돈까스를 파는 가게를 소개해요. 직접 만든 돈까스를 튀겨서 옛날식 돈까스인데 크기도 크고 가격도 적당해서 가족과 경동시장가면 맛보시길 바래요. 여기에 김밥도 어른 주먹만하게 큰 김밥을 파는데 함께 먹으면 더 맛났어요.
94,3학년,천장산 하늘길 입구,서울 동대문구 청량리동 207,"'하늘이 숨겨놓은 곳' 천장산 하늘길은 동대문구에서 청량리동, 회기동, 이문동에 걸쳐 위치해있어요. 천장산을 넘어가면 성북구로도 갈 수있고 의릉을 가볼 수도 있어요. 천장산 하늘길에서 이문어린이도서관까지 넘어가는 길을 걸으며 나비, 새도 만나고 운동도 해볼 수 있고 황토길도 있어요. 목재데크 및 계단이 설치되어있어 걷기 편하고 주변에 홍릉도 가볼 수 있어서 가족과 숲체험하기 좋아요."
95,3학년,천장산 나무공방,서울 동대문구 회기로 75,천장산 나무공방은 목공을 해 볼 수 있는 공간이예요. 매 달마다 서울시공공예약 서비스에서 신청을 받고 있고 가족과 함께 멋진 목공 작품을 만들어볼 수 있었어요. 나무를 직접 만지면서 자연을 느껴볼 수 있는 천장산 하늘길 옆에 있어서 함께 계획해서 다녀보아도 좋을 것 같아요.
96,3학년,신세계 이마트 희망놀이터,,"신세계 이마트 희망놀이터 서울 동대문구 고산자로36길 3 경동시장 신관 2층  장소 : 경동시장에 갈 때 지나치지 못하는 곳이긴해요. 키즈카페처럼 안에 놀거리가가득해요. 미끄럼틀,볼풀장,가게놀이, 레고블록 등 유아에서 초등생까지 방문 가능해서 추천해요. 운영 시간과 금액이 발생할 수 있으니 확인해보시고 가셨으면해요. 네이버로 검색하면 예약하고 갈 수 있어요.  여름날 무더울 때 가면 시원한 곳에서 놀다가 나오면 바로 작은도서관도 있어서 시간보내기 좋아요."
97,3학년,정릉천 디디미스케이트 파크,서울 동대문구 정릉천동로 83,"정릉천 문화복지 공간으로 새로이 생긴 곳이예요. 제기동 가는 부근에 정릉천 밑에 하천과 어우러져롤러,인라인스케이트를 탈 수 있어요. 새로 지어져 깨끗하고 넓어서 롤러나 인라인 스케이트를 즐겨 탄다면 방문하기 좋아요. 저녁에는 조명도 갖춰져있고요. 단, 여름에는 하천근처라 그런지 모기가 많은 것 같으니 모기기피제 뿌리고 가세요."
98,3학년,휘경어린이도서관,서울특별시 동대문구 망우로18가길 38,"회기역 맞은편의 주택단지 사이에있는 어린이도서관으로 조용히 책을 읽고싶을 때 방문하길 추천해뇨. 지하에 DVD실이 있어서 편하게 볼 수 있고 2층에는 높은 층고에 좌식의자를 놓고 다양한 책을 볼 수 있어요. 도서관 내 프로그램도 신청하면 더 재미있어요. 다만 주차공간이 별도 없으니 참고해주세요.  전화 02-2248-1959 휴관일 매주 월요일 / 법정공휴일, 도서관 필요에 의해 관장이 정하는 날운영시간 09:00~18:00 자료현황 도서 48275권 보유"
99,4학년,간데메공원,서울 동대동구 답십리동 서울 시립대로 2길 59,팔각정이 있어 햇빛을 피할수 있다. 산책코스가 있고 바람을 쐴수 있다. 놀이터가 있다.
100,4학년,동대문진로체험센터 와락,,"매달 한 가지씩 특별한 직업 체험을 하며 자신의 잠재된 장점과 역량을 찾고, 적성과 흥미에 꼭 맞는 미래의 꿈을 발견할 수 있도록 도와주는 곳이다."
101,4학년,디디미 스케이트 파크,,아무데서나 탈 수 없는 스케이트보드와 BMX자전거를 안전하게 탈 수 있다. 다리아래에 있어서 비가와도 괜찮다. 멋진 라이딩을 볼수있다.
102,4학년,오솔길 하우스,서울 동대문구 천호대로 55길 힐스테이트청계 103동 앞 놀이터,"오솔길 하우스 놀이터에는 그늘지고 시원한 쉼터가 있다. 친구들과 신나게 뛰어놀다 지치면 언제나 시원하게 쉴 수 있어서 너무 편리하다.  여름에는 물놀이를 할 수 있는 물놀이 장소도 있다. 더운 여름에는 그곳에서 친구들과 자유롭게 물총놀이도 하고 물놀이도 할 수 있다.  특히 그네는 타다가 떨어지거나 다칠 위험이 많은데 오솔길 하우스 놀이터에는 그네가 너무 높이 올라가지 않도록 고정을 해 놓아서 다칠 위험성이 적어 마음놓고 놀수 있다.  단, 놀이터 바로 앞에는 어린이집이 있다. 그러니 당연하게도 어린이들이 많이 나와서 노는 곳이다. 어린이들이 많으니 너무 빨리 달리거나, 위험한 행동을 해서는 절대 안된다. 아이들이 혹시 다치면 안되기 때문이다."
103,4학년,옐로우 팜,,옐로우 팜은 다양한 과일 음료수와 빙수를 팔아서 맛있다. 다만 가격은 좀 비싸서 아쉽다.
104,4학년,청량꿈 숲,,"청량꿈 숲은 신답 초등학교 쪽에 있는 산책로이다. 식물원 가야지만 볼 수 있는 희귀한 꽃도 있고, 길도 평평하고 잘되 있어 산책하기도 좋다. 학교 근처라 이동하기도 편해 좋다"
105,4학년,백억분식,,"주소: 서울특별시 동대문구 천호대로45나길 52 1층   백억분식은 아주머님도 너무 친절 하시고, 메뉴도 맛있어서 내가 자주 가는 곳이다. 요즘 같은 날씨에 찰떡인 쫄면과 냉면 같은 시원한 음식도 있고, 떡볶이나 어묵 같은 대표적인 분식들도 있다.   아주머니가 서비스도 많이 주시고 나갈 때 아이들에거 젤리를 주셔서 내가 좋아하는 식당 중 하나다."
107,4학년,산타클라이밍,,"나는 주말마다 산타 클라이밍이라는 클라이밍 하는 곳에 간다. 나는 거기서 같은 4학년 친구들이랑 노는 것도 재밌고, 같이 하시는 분들이 착하고 친절하셔서 꼭 가봤으면 한다."
108,4학년,미분당,,미분당은 내가 제일 좋아하는 쌀국수집이다. 한국 느낌은 별로 나지 않아서 해외여행을 간 기분이 들 때가 있다. 또한 엄청 고요해서 힐링이 되기도 한다.
109,4학년,뉴띵문고 청량리 수자인점,서울특별시 동대문구 천호대로31길 84,아이들이 좋아하는 문구류가 가득한 곳 이다 학교 준비물을 준하하기 좋고 친구 선물 사기에도 좋은 곳이다.
110,4학년,동대문 도서관,서울시 동대문구 천호대로 4길22,"서울특별시 교육청에서 운영하는 곳이라 더 믿음이 가는 우리 동네 숨겨진 명소다. 1층 어린이 열람실은 책 관리가 잘되어 있어 책이 깨끗한 편이고, 다른 도서관에선 빌리기 힘든 인기 도서나 산착 도서도 여기선 훨씬 쉽게 찾을 수 있다. ​특히 이곳은 '초등 교과서 수록 도서 책 꾸러미' 대출이 가능해서 정말 유용하다. 언제나 친절하게 맞아주시는 사서 선생님들 덕분에 올 때마다 마음 편히 책을 즐길 수 있는 우리 동네 보물 같은 공간이다."
111,4학년,청계한신휴플러스 놀이터,서울시 동대문구 서울시립대로 14 청계한신휴플러스 107동앞 놀이터,캐리비안 해적선 느낌을 살린 놀이터 입니다.  놀이터위로 올라가면 배에 올라 탄 것처럼 느껴져요! 그늘 쉼터도 잘되어 있어 부모님들도 편히 쉴 수 있어요~
112,4학년,홍릉갈비,서울 동대문구 제기로 85,갈비탕이 기가막히게 맛있어서 내친구들도 먹으면 좋을거 같다.
113,4학년,아름드리작은도서관,서울특별시 동대문구 사가정로 30,"정겨운 작은 도서관입니다. 답십리1동 주민센터 옆에 있는 계단을 이용해서 3층으로 올라가면 있어요. 다른 작은 도서관들은 주말에 이용이 안되는 경우도 있는데, 이 도서관은 일요일에도 이용가능해요. 휴일에 가족과 함께 방문하기 좋습니다. 다만, 오후 1시~2시에는 점심시간으로 문을 닫아요. 그 시간을 피해서 방문하시면 돼요."
114,4학년,디디미스케이트 파크,서울 동대문구 정릉천동로 83,그늘져서 인라인 타기 좋아요. 가벼운 산책도 가능해요
115,4학년,청량꿈숲,서울시 동대문구 천호대로 47길,다양한 식물들이 있고 산책로 가 잘되어 있어 가족들과 또는 연인들이 산책하기 좋은 곳이다
